index_content,word,nature,content_type,index_word
1,京东,ns,pos,0
1,物流,n,pos,1
1,非常,d,pos,2
1,快速,d,pos,3
1,早上,t,pos,4
1,买,v,pos,5
1,下午,t,pos,6
1,京东,ns,pos,7
1,小哥,n,pos,8
1,辛苦,a,pos,9
1,家里,s,pos,10
1,大小,b,pos,11
1,朋友,n,pos,12
1,喜欢,v,pos,13
1,喝,vg,pos,14
1,白开水,nr,pos,15
1,一年,m,pos,16
1,买,v,pos,17
1,水,n,pos,18
1,糖,n,pos,19
1,脂肪,n,pos,20
3,年前,t,pos,0
3,买,v,pos,1
3,过年,t,pos,2
3,旅行,vn,pos,3
3,放在,v,pos,4
3,车,zg,pos,5
3,里边儿,nr,pos,6
3,喝,vg,pos,7
3,一直,d,pos,8
3,没,v,pos,9
3,来得及,v,pos,10
3,评价,n,pos,11
3,东西,ns,pos,12
3,不错,a,pos,13
3,非常,d,pos,14
3,喜欢,v,pos,15
3,款,m,pos,16
3,茶饮料,n,pos,17
3,没有,v,pos,18
3,糖,zg,pos,19
3,没有,v,pos,20
3,添加剂,n,pos,21
3,挺,d,pos,22
3,以后,f,pos,23
3,会,v,pos,24
3,买,v,pos,25
5,农夫山泉,nz,pos,0
5,东方,s,pos,1
5,树叶,n,pos,2
5,家里人,nrt,pos,3
5,喜欢,v,pos,4
5,喝,vg,pos,5
5,普洱茶,n,pos,6
5,喝,vg,pos,7
5,起来,v,pos,8
5,茶味,n,pos,9
5,很浓,l,pos,10
5,特别,d,pos,11
5,适合,v,pos,12
5,喜欢,v,pos,13
5,喝茶,v,pos,14
5,没有,v,pos,15
5,糖,zg,pos,16
5,喝,vg,pos,17
5,起来,v,pos,18
5,没有,v,pos,19
5,负担,v,pos,20
5,不错,a,pos,21
5,价格,n,pos,22
5,实惠,vn,pos,23
6,农夫山泉,nz,pos,0
6,东方,s,pos,1
6,树叶,n,pos,2
6,青,a,pos,3
6,柑,n,pos,4
6,普洱茶,n,pos,5
6,复合,v,pos,6
6,茶饮料,n,pos,7
6,收到,v,pos,8
6,喜欢,v,pos,9
6,一款,m,pos,10
6,茶饮料,n,pos,11
6,青柑,n,pos,12
6,味道,n,pos,13
6,小青,nr,pos,14
6,柑,ng,pos,15
6,东方,s,pos,16
6,树叶,n,pos,17
6,里,f,pos,18
6,比较,d,pos,19
6,好喝,v,pos,20
6,一款,m,pos,21
6,糖,n,pos,22
6,脂肪,n,pos,23
6,卡路里,q,pos,24
6,饮料,n,pos,25
6,平时,t,pos,26
6,买,v,pos,27
6,茶叶,n,pos,28
6,泡,v,pos,29
6,总难,d,pos,30
6,泡出,v,pos,31
6,纯正,d,pos,32
6,味道,n,pos,33
6,直接,ad,pos,34
6,买,v,pos,35
6,小瓶,n,pos,36
6,放在,v,pos,37
6,家,m,pos,38
6,喝,vg,pos,39
6,方便,a,pos,40
6,喜欢,v,pos,41
6,喝茶,v,pos,42
6,必备,v,pos,43
6,一款,m,pos,44
6,饮料,n,pos,45
6,口感,n,pos,46
6,真的,d,pos,47
6,后来,t,pos,48
6,喝,vg,pos,49
6,品牌,n,pos,50
6,茶饮料,n,pos,51
6,时,n,pos,52
6,突然,ad,pos,53
6,发现,v,pos,54
6,配料表,n,pos,55
6,里,f,pos,56
6,含,v,pos,57
6,钠,n,pos,58
6,找出,v,pos,59
6,东方,s,pos,60
6,树叶,n,pos,61
6,配料表,n,pos,62
6,里面,f,pos,63
6,没有,v,pos,64
6,含钠,n,pos,65
6,果断,d,pos,66
6,换成,v,pos,67
6,东方,s,pos,68
6,树叶,n,pos,69
6,主要,b,pos,70
6,含糖,n,pos,71
6,感觉,n,pos,72
6,挺,d,pos,73
6,健康,a,pos,74
6,小小,b,pos,75
6,一瓶,m,pos,76
6,带,v,pos,77
6,方便,a,pos,78
6,茶,n,pos,79
6,带有,v,pos,80
6,一点点,m,pos,81
6,甜味,n,pos,82
6,无糖,n,pos,83
6,口感,n,pos,84
6,会,v,pos,85
6,点点,n,pos,86
6,甜味,n,pos,87
6,喝,vg,pos,88
6,起来,v,pos,89
6,口味,n,pos,90
6,非常,d,pos,91
6,清爽,a,pos,92
6,冰箱,n,pos,93
6,冷藏,n,pos,94
6,一下,m,pos,95
6,会,v,pos,96
6,更好,d,pos,97
6,喝,vg,pos,98
6,比较,d,pos,99
6,适合,v,pos,100
6,日常,d,pos,101
6,饮用,n,pos,102
6,喜欢,v,pos,103
6,无糖,n,pos,104
6,茶,n,pos,105
6,感觉,n,pos,106
6,不会,v,pos,107
6,腻,v,pos,108
6,喝,vg,pos,109
6,效果,n,pos,110
6,特别,d,pos,111
6,非常,d,pos,112
6,解渴,v,pos,113
6,青,a,pos,114
6,柑,n,pos,115
6,茶饮料,n,pos,116
6,非常,d,pos,117
6,好喝,v,pos,118
6,健康,a,pos,119
6,一款,m,pos,120
6,饮料,n,pos,121
6,茶,n,pos,122
6,香气,n,pos,123
6,醇厚,a,pos,124
6,喝,vg,pos,125
6,一口,m,pos,126
6,嘴巴,n,pos,127
6,里,f,pos,128
6,充满,a,pos,129
6,浓郁,a,pos,130
6,青柑,n,pos,131
6,茶,n,pos,132
6,清香,nr,pos,133
6,回味,v,pos,134
6,持久,a,pos,135
6,喝完,v,pos,136
6,清爽,a,pos,137
6,舒适,a,pos,138
6,家里,s,pos,139
6,必备,v,pos,140
6,饮料,n,pos,141
6,无糖,n,pos,142
6,健康,a,pos,143
6,特别,d,pos,144
6,爽口,vn,pos,145
7,东西,ns,pos,0
7,质量,n,pos,1
7,非常,d,pos,2
7,卖家,n,pos,3
7,描述,v,pos,4
7,完全一致,i,pos,5
7,非常,d,pos,6
7,满意,v,pos,7
7,真的,d,pos,8
7,喜欢,v,pos,9
7,完全,ad,pos,10
7,超出,v,pos,11
7,期望值,n,pos,12
7,发货,n,pos,13
7,速度,n,pos,14
7,非常,d,pos,15
7,快,a,pos,16
7,包装,v,pos,17
7,非常,d,pos,18
7,仔细,ad,pos,19
7,严实,ad,pos,20
7,物流,n,pos,21
7,公司,n,pos,22
7,服务态度,n,pos,23
7,运送,v,pos,24
7,速度,n,pos,25
7,很快,d,pos,26
7,满意,v,pos,27
7,一次,m,pos,28
7,购物,n,pos,29
8,质量,n,pos,0
8,非常,d,pos,1
8,卖家,n,pos,2
8,描述,v,pos,3
8,完全一致,i,pos,4
8,非常,d,pos,5
8,满意,v,pos,6
8,真的,d,pos,7
8,喜欢,v,pos,8
