index_content,word,nature,content_type,index_word
1,物流,n,pos,0
1,快速,d,pos,1
1,早上,t,pos,2
1,下午,t,pos,3
1,小哥,n,pos,4
1,辛苦,a,pos,5
1,家里,s,pos,6
1,大小,b,pos,7
1,朋友,n,pos,8
1,喜欢,v,pos,9
1,白开水,nr,pos,10
1,一年,m,pos,11
1,水,n,pos,12
1,糖,n,pos,13
1,脂肪,n,pos,14
2,青,a,pos,0
2,柑,n,pos,1
2,经常,d,pos,2
2,回购,v,pos,3
2,一种,m,pos,4
2,口感,n,pos,5
2,清新,a,pos,6
2,淡雅,z,pos,7
2,春节,t,pos,8
2,时,ng,pos,9
2,吃,v,pos,10
2,油腻,n,pos,11
2,点,q,pos,12
2,舒服,a,pos,13
2,春节,t,pos,14
2,搞,v,pos,15
2,活动,vn,pos,16
2,购买,v,pos,17
2,价格,n,pos,18
2,合适,a,pos,19
2,送货,v,pos,20
2,快速,d,pos,21
2,包装,v,pos,22
2,完整,a,pos,23
3,年前,t,pos,0
3,过年,t,pos,1
3,旅行,vn,pos,2
3,放在,v,pos,3
3,车,zg,pos,4
3,里边儿,nr,pos,5
3,来得及,v,pos,6
3,评价,n,pos,7
3,东西,ns,pos,8
3,不错,a,pos,9
3,喜欢,v,pos,10
3,糖,zg,pos,11
3,添加剂,n,pos,12
3,挺,d,pos,13
3,以后,f,pos,14
4,老板,n,pos,0
4,爱喝,nr,pos,1
4,无糖,n,pos,2
4,比较,d,pos,3
4,健康,a,pos,4
4,包装,v,pos,5
4,好看,v,pos,6
4,外面,f,pos,7
4,超市,v,pos,8
4,便宜,a,pos,9
4,送货,v,pos,10
4,方便,a,pos,11
4,省,n,pos,12
4,超市,v,pos,13
4,背,v,pos,14
5,家里人,nrt,pos,0
5,喜欢,v,pos,1
5,茶味,n,pos,2
5,很浓,l,pos,3
5,适合,v,pos,4
5,喜欢,v,pos,5
5,喝茶,v,pos,6
5,糖,zg,pos,7
5,负担,v,pos,8
5,不错,a,pos,9
5,价格,n,pos,10
5,实惠,vn,pos,11
6,青,a,pos,0
6,柑,n,pos,1
6,复合,v,pos,2
6,收到,v,pos,3
6,喜欢,v,pos,4
6,一款,m,pos,5
6,青柑,n,pos,6
6,味道,n,pos,7
6,小青,nr,pos,8
6,柑,ng,pos,9
6,里,f,pos,10
6,比较,d,pos,11
6,好喝,v,pos,12
6,一款,m,pos,13
6,糖,n,pos,14
6,脂肪,n,pos,15
6,卡路里,q,pos,16
6,平时,t,pos,17
6,茶叶,n,pos,18
6,泡,v,pos,19
6,总难,d,pos,20
6,泡出,v,pos,21
6,纯正,d,pos,22
6,味道,n,pos,23
6,直接,ad,pos,24
6,小瓶,n,pos,25
6,放在,v,pos,26
6,家,m,pos,27
6,方便,a,pos,28
6,喜欢,v,pos,29
6,喝茶,v,pos,30
6,必备,v,pos,31
6,一款,m,pos,32
6,口感,n,pos,33
6,真的,d,pos,34
6,后来,t,pos,35
6,品牌,n,pos,36
6,时,n,pos,37
6,突然,ad,pos,38
6,发现,v,pos,39
6,配料表,n,pos,40
6,里,f,pos,41
6,含,v,pos,42
6,钠,n,pos,43
6,找出,v,pos,44
6,配料表,n,pos,45
6,里面,f,pos,46
6,含钠,n,pos,47
6,果断,d,pos,48
6,换成,v,pos,49
6,主要,b,pos,50
6,含糖,n,pos,51
6,感觉,n,pos,52
6,挺,d,pos,53
6,健康,a,pos,54
6,小小,b,pos,55
6,一瓶,m,pos,56
6,带,v,pos,57
6,方便,a,pos,58
6,带有,v,pos,59
6,一点点,m,pos,60
6,甜味,n,pos,61
6,无糖,n,pos,62
6,口感,n,pos,63
6,点点,n,pos,64
6,甜味,n,pos,65
